Time,Value
0.274,-0.000326
0.275,-0.000326
0.276,-0.000327
0.277,-0.000326
0.278,-0.000325
0.279,-0.000324
0.28,-0.000322
0.281,-0.000319
0.282,-0.000316
0.283,-0.000312
0.284,-0.000309
0.285,-0.000305
0.286,-0.000301
0.287,-0.000297
0.288,-0.000293
0.289,-0.000289
0.29,-0.000285
0.291,-0.000282
0.292,-0.000278
0.293,-0.000274
0.294,-0.00027
0.295,-0.000266
0.296,-0.000262
0.297,-0.000259
0.298,-0.000255
0.299,-0.000251
0.3,-0.000247
0.301,-0.000243
0.302,-0.000239
0.303,-0.000235
0.304,-0.000232
0.305,-0.000229
0.306,-0.000226
0.307,-0.000223
0.308,-0.000221
0.309,-0.000219
0.31,-0.000218
0.311,-0.000216
0.312,-0.000214
0.313,-0.000213
0.314,-0.000211
0.315,-0.00021
0.316,-0.000208
0.317,-0.000207
0.318,-0.000206
0.319,-0.000204
0.32,-0.000203
0.321,-0.000202
0.322,-0.000201
0.323,-0.000201
0.324,-0.0002
0.325,-0.000199
0.326,-0.000199
0.327,-0.000199
0.328,-0.000198
0.329,-0.000198
0.33,-0.000198
0.331,-0.000199
0.332,-0.000199
0.333,-0.000199
0.334,-0.000199
0.335,-0.000198
0.336,-0.000198
0.337,-0.000197
0.338,-0.000196
0.339,-0.000195
0.34,-0.000194
0.341,-0.000193
0.342,-0.000191
0.343,-0.00019
0.344,-0.000188
0.345,-0.000187
0.346,-0.000186
0.347,-0.000185
0.348,-0.000184
0.349,-0.000183
0.35,-0.000183
0.351,-0.000183
0.352,-0.000184
0.353,-0.000184
0.354,-0.000185
0.355,-0.000185
0.356,-0.000186
0.357,-0.000187
0.358,-0.000188
0.359,-0.00019
0.36,-0.000192
0.361,-0.000193
0.362,-0.000196
0.363,-0.000198
0.364,-0.000201
0.365,-0.000204
0.366,-0.000207
0.367,-0.000211
0.368,-0.000215
0.369,-0.000219
0.37,-0.000224
0.371,-0.000229
0.372,-0.000233
0.373,-0.000238
0.374,-0.000242
0.375,-0.000247
0.376,-0.000251
0.377,-0.000255
0.378,-0.000258
0.379,-0.000262
0.38,-0.000265
0.381,-0.000268
0.382,-0.000271
0.383,-0.000273
0.384,-0.000276
0.385,-0.000278
0.386,-0.00028
0.387,-0.000282
0.388,-0.000283
0.389,-0.000285
0.39,-0.000286
0.391,-0.000287
0.392,-0.000287
0.393,-0.000288
0.394,-0.000288
0.395,-0.000288
0.396,-0.000288
0.397,-0.000287
0.398,-0.000287
0.399,-0.000286
0.4,-0.000284
0.401,-0.000283
0.402,-0.000281
0.403,-0.000279
0.404,-0.000277
0.405,-0.000275
0.406,-0.000273
0.407,-0.000271
0.408,-0.000269
0.409,-0.000267
0.41,-0.000265
0.411,-0.000262
0.412,-0.000259
0.413,-0.000256
0.414,-0.000253
0.415,-0.00025
0.416,-0.000247
0.417,-0.000243
0.418,-0.000239
0.419,-0.000234
0.42,-0.00023
0.421,-0.000225
0.422,-0.00022
0.423,-0.000216
0.424,-0.000211
0.425,-0.000206
0.426,-0.000201
0.427,-0.000197
0.428,-0.000192
0.429,-0.000188
0.43,-0.000184
0.431,-0.00018
0.432,-0.000176
0.433,-0.000173
0.434,-0.000169
0.435,-0.000165
0.436,-0.000162
0.437,-0.000158
0.438,-0.000155
0.439,-0.000152
0.44,-0.000149
0.441,-0.000146
0.442,-0.000143
0.443,-0.000141
0.444,-0.000139
0.445,-0.000138
0.446,-0.000137
0.447,-0.000136
0.448,-0.000136
0.449,-0.000136
0.45,-0.000137
0.451,-0.000137
0.452,-0.000139
0.453,-0.00014
0.454,-0.000142
0.455,-0.000144
0.456,-0.000146
0.457,-0.000149
0.458,-0.000152
0.459,-0.000154
0.46,-0.000157
0.461,-0.000161
0.462,-0.000164
0.463,-0.000167
0.464,-0.00017
0.465,-0.000174
0.466,-0.000178
0.467,-0.000181
0.468,-0.000185
0.469,-0.000189
0.47,-0.000192
0.471,-0.000196
0.472,-0.0002
0.473,-0.000203
0.474,-0.000207
0.475,-0.00021
0.476,-0.000213
0.477,-0.000216
0.478,-0.000218
0.479,-0.000221
0.48,-0.000223
0.481,-0.000226
0.482,-0.000228
0.483,-0.000231
0.484,-0.000234
0.485,-0.000237
0.486,-0.000241
0.487,-0.000245
0.488,-0.000249
0.489,-0.000253
0.49,-0.000258
0.491,-0.000262
0.492,-0.000267
0.493,-0.000271
0.494,-0.000276
0.495,-0.00028
0.496,-0.000284
0.497,-0.000287
0.498,-0.00029
0.499,-0.000293
0.5,-0.000295
0.501,-0.000296
0.502,-0.000298
0.503,-0.000299
0.504,-0.0003
0.505,-0.000301
0.506,-0.000302
0.507,-0.000303
0.508,-0.000304
0.509,-0.000305
0.51,-0.000306
0.511,-0.000307
0.512,-0.000308
0.513,-0.000309
0.514,-0.00031
0.515,-0.00031
0.516,-0.000311
0.517,-0.00031
0.518,-0.00031
0.519,-0.000309
0.52,-0.000308
0.521,-0.000307
0.522,-0.000305
0.523,-0.000303
0.524,-0.000301
0.525,-0.000299
0.526,-0.000297
0.527,-0.000295
0.528,-0.000292
0.529,-0.00029
0.53,-0.000287
0.531,-0.000284
0.532,-0.000281
0.533,-0.000278
0.534,-0.000275
0.535,-0.000272
0.536,-0.000268
0.537,-0.000264
0.538,-0.00026
0.539,-0.000256
0.54,-0.000251
0.541,-0.000247
0.542,-0.000243
0.543,-0.000239
0.544,-0.000236
0.545,-0.000232
0.546,-0.000229
0.547,-0.000226
0.548,-0.000223
0.549,-0.00022
0.55,-0.000218
0.551,-0.000216
0.552,-0.000214
0.553,-0.000212
0.554,-0.00021
0.555,-0.000208
0.556,-0.000206
0.557,-0.000204
0.558,-0.000202
0.559,-0.0002
0.56,-0.000198
0.561,-0.000196
0.562,-0.000194
0.563,-0.000193
0.564,-0.000191
0.565,-0.000191
0.566,-0.00019
0.567,-0.00019
0.568,-0.00019
0.569,-0.00019
0.57,-0.000191
0.571,-0.000192
0.572,-0.000194
0.573,-0.000195
0.574,-0.000198
0.575,-0.0002
0.576,-0.000203
0.577,-0.000206
0.578,-0.000209
0.579,-0.000212
0.58,-0.000215
0.581,-0.000218
0.582,-0.000221
0.583,-0.000224
0.584,-0.000227
0.585,-0.00023
0.586,-0.000233
0.587,-0.000237
0.588,-0.00024
0.589,-0.000243
0.59,-0.000246
0.591,-0.000249
0.592,-0.000251
0.593,-0.000253
0.594,-0.000255
0.595,-0.000257
0.596,-0.000257
0.597,-0.000258
0.598,-0.000257
0.599,-0.000257
0.6,-0.000255
0.601,-0.000254
0.602,-0.000253
0.603,-0.000251
0.604,-0.000249
0.605,-0.000248
0.606,-0.000246
0.607,-0.000244
0.608,-0.000242
0.609,-0.00024
0.61,-0.000238
0.611,-0.000236
0.612,-0.000234
0.613,-0.000232
0.614,-0.00023
0.615,-0.000228
0.616,-0.000226
0.617,-0.000223
0.618,-0.000221
0.619,-0.000219
0.62,-0.000217
0.621,-0.000214
0.622,-0.000212
0.623,-0.000209
0.624,-0.000207
0.625,-0.000204
0.626,-0.000202
0.627,-0.0002
0.628,-0.000198
0.629,-0.000195
0.63,-0.000194
0.631,-0.000192
0.632,-0.00019
0.633,-0.000188
0.634,-0.000187
0.635,-0.000186
0.636,-0.000185
0.637,-0.000184
0.638,-0.000183
0.639,-0.000182
0.64,-0.000181
0.641,-0.00018
0.642,-0.000179
0.643,-0.000179
0.644,-0.000178
0.645,-0.000178
0.646,-0.000178
0.647,-0.000179
0.648,-0.000179
0.649,-0.00018
0.65,-0.000181
0.651,-0.000181
0.652,-0.000182
0.653,-0.000182
0.654,-0.000182
0.655,-0.000183
0.656,-0.000183
0.657,-0.000183
0.658,-0.000183
0.659,-0.000183
0.66,-0.000183
0.661,-0.000183
0.662,-0.000183
0.663,-0.000184
0.664,-0.000184
0.665,-0.000184
0.666,-0.000184
0.667,-0.000185
0.668,-0.000186
0.669,-0.000188
0.67,-0.00019
0.671,-0.000192
0.672,-0.000194
0.673,-0.000196
0.674,-0.000199
0.675,-0.000201
0.676,-0.000203
0.677,-0.000205
0.678,-0.000207
0.679,-0.000208
0.68,-0.00021
0.681,-0.000211
0.682,-0.000212
0.683,-0.000213
0.684,-0.000214
0.685,-0.000216
0.686,-0.000217
0.687,-0.000219
0.688,-0.000221
0.689,-0.000223
0.69,-0.000225
0.691,-0.000227
0.692,-0.000229
0.693,-0.000231
0.694,-0.000233
0.695,-0.000234
0.696,-0.000236
0.697,-0.000237
0.698,-0.000239
0.699,-0.00024
0.7,-0.000241
0.701,-0.000242
0.702,-0.000243
0.703,-0.000244
0.704,-0.000245
0.705,-0.000246
0.706,-0.000247
0.707,-0.000248
0.708,-0.00025
0.709,-0.000251
0.71,-0.000253
0.711,-0.000255
0.712,-0.000257
0.713,-0.000259
0.714,-0.000261
0.715,-0.000262
0.716,-0.000264
0.717,-0.000266
0.718,-0.000267
0.719,-0.000267
0.72,-0.000268
0.721,-0.000268
0.722,-0.000268
0.723,-0.000268
0.724,-0.000268
0.725,-0.000269
0.726,-0.000269
0.727,-0.000269
0.728,-0.000269
0.729,-0.000269
0.73,-0.000269
0.731,-0.000269
0.732,-0.00027
0.733,-0.00027
0.734,-0.000271
0.735,-0.000272
0.736,-0.000273
0.737,-0.000274
0.738,-0.000275
0.739,-0.000276
0.74,-0.000277
0.741,-0.000278
0.742,-0.000279
0.743,-0.000281
0.744,-0.000282
0.745,-0.000283
0.746,-0.000285
0.747,-0.000286
0.748,-0.000288
0.749,-0.00029
0.75,-0.000291
0.751,-0.000293
0.752,-0.000295
0.753,-0.000297
0.754,-0.000299
0.755,-0.0003
0.756,-0.000301
0.757,-0.000303
0.758,-0.000304
0.759,-0.000304
0.76,-0.000305
0.761,-0.000305
0.762,-0.000306
0.763,-0.000306
0.764,-0.000306
0.765,-0.000306
0.766,-0.000306
0.767,-0.000306
0.768,-0.000306
0.769,-0.000306
0.77,-0.000305
0.771,-0.000305
0.772,-0.000304
0.773,-0.000304
0.774,-0.000303
0.775,-0.000302
0.776,-0.000301
0.777,-0.000299
0.778,-0.000297
0.779,-0.000295
0.78,-0.000293
0.781,-0.00029
0.782,-0.000288
0.783,-0.000285
0.784,-0.000281
0.785,-0.000278
0.786,-0.000274
0.787,-0.000271
0.788,-0.000267
0.789,-0.000263
0.79,-0.000259
0.791,-0.000255
0.792,-0.000251
0.793,-0.000246
0.794,-0.000241
0.795,-0.000236
0.796,-0.000231
0.797,-0.000226
0.798,-0.000221
0.799,-0.000216
0.8,-0.000211
0.801,-0.000205
0.802,-0.0002
0.803,-0.000196
0.804,-0.000191
0.805,-0.000187
0.806,-0.000183
0.807,-0.000179
0.808,-0.000175
0.809,-0.000172
0.81,-0.000169
0.811,-0.000166
0.812,-0.000163
0.813,-0.000161
0.814,-0.000159
0.815,-0.000156
0.816,-0.000154
0.817,-0.000151
0.818,-0.000149
0.819,-0.000146
0.82,-0.000143
0.821,-0.000141
0.822,-0.000138
0.823,-0.000136
0.824,-0.000134
0.825,-0.000132
0.826,-0.000131
0.827,-0.00013
0.828,-0.000129
0.829,-0.000129
0.83,-0.000129
0.831,-0.00013
0.832,-0.000131
0.833,-0.000133
0.834,-0.000135
0.835,-0.000137
0.836,-0.000139
0.837,-0.000141
0.838,-0.000144
0.839,-0.000146
0.84,-0.000149
0.841,-0.000153
0.842,-0.000157
0.843,-0.000161
0.844,-0.000166
0.845,-0.000171
0.846,-0.000176
0.847,-0.000182
0.848,-0.000188
0.849,-0.000194
0.85,-0.0002
0.851,-0.000207
0.852,-0.000214
0.853,-0.000221
0.854,-0.000228
0.855,-0.000234
0.856,-0.000241
0.857,-0.000247
0.858,-0.000253
0.859,-0.000258
0.86,-0.000264
0.861,-0.000269
0.862,-0.000275
0.863,-0.00028
0.864,-0.000286
0.865,-0.000291
0.866,-0.000296
0.867,-0.000302
0.868,-0.000307
0.869,-0.000312
0.87,-0.000317
0.871,-0.000322
0.872,-0.000327
0.873,-0.000331
0.874,-0.000336
0.875,-0.00034
0.876,-0.000344
0.877,-0.000347
0.878,-0.000351
0.879,-0.000354
0.88,-0.000357
0.881,-0.000359
0.882,-0.000362
0.883,-0.000364
0.884,-0.000367
0.885,-0.000369
0.886,-0.000371
0.887,-0.000373
0.888,-0.000375
0.889,-0.000378
0.89,-0.00038
0.891,-0.000383
0.892,-0.000386
0.893,-0.000389
0.894,-0.000391
0.895,-0.000394
0.896,-0.000397
0.897,-0.0004
0.898,-0.000402
0.899,-0.000405
0.9,-0.000408
0.901,-0.00041
0.902,-0.000413
0.903,-0.000415
0.904,-0.000418
0.905,-0.00042
0.906,-0.000422
0.907,-0.000424
0.908,-0.000426
0.909,-0.000427
0.91,-0.000428
0.911,-0.000429
0.912,-0.00043
0.913,-0.00043
0.914,-0.000429
0.915,-0.000429
0.916,-0.000427
0.917,-0.000426
0.918,-0.000423
0.919,-0.000421
0.92,-0.000417
0.921,-0.000414
0.922,-0.00041
0.923,-0.000406
0.924,-0.000402
0.925,-0.000398
0.926,-0.000394
0.927,-0.00039
0.928,-0.000387
0.929,-0.000383
0.93,-0.00038
0.931,-0.000377
0.932,-0.000373
0.933,-0.00037
0.934,-0.000367
0.935,-0.000363
0.936,-0.00036
0.937,-0.000357
0.938,-0.000353
0.939,-0.00035
0.94,-0.000346
0.941,-0.000343
0.942,-0.000339
0.943,-0.000336
0.944,-0.000334
0.945,-0.000331
0.946,-0.000329
0.947,-0.000327
0.948,-0.000325
0.949,-0.000324
0.95,-0.000322
0.951,-0.00032
0.952,-0.000319
0.953,-0.000317
0.954,-0.000315
0.955,-0.000314
0.956,-0.000312
0.957,-0.00031
0.958,-0.000308
0.959,-0.000305
0.96,-0.000303
0.961,-0.000301
0.962,-0.000298
0.963,-0.000296
0.964,-0.000293
0.965,-0.000291
0.966,-0.000288
0.967,-0.000286
0.968,-0.000283
0.969,-0.000281
0.97,-0.000278
0.971,-0.000275
0.972,-0.000272
0.973,-0.000268
0.974,-0.000264
0.975,-0.00026
0.976,-0.000256
0.977,-0.000252
0.978,-0.000247
0.979,-0.000242
0.98,-0.000236
0.981,-0.000231
0.982,-0.000226
0.983,-0.000221
0.984,-0.000216
0.985,-0.000211
0.986,-0.000207
0.987,-0.000203
0.988,-0.000199
0.989,-0.000196
0.99,-0.000193
0.991,-0.00019
0.992,-0.000188
0.993,-0.000185
0.994,-0.000183
0.995,-0.000181
0.996,-0.000179
0.997,-0.000176
0.998,-0.000175
0.999,-0.000173
1,-0.000171
1.001,-0.00017
1.002,-0.000169
1.003,-0.000169
1.004,-0.000169
1.005,-0.000169
1.006,-0.00017
1.007,-0.000172
1.008,-0.000174
1.009,-0.000177
1.01,-0.00018
1.011,-0.000184
1.012,-0.000188
1.013,-0.000192
1.014,-0.000197
1.015,-0.000202
1.016,-0.000207
1.017,-0.000212
1.018,-0.000217
1.019,-0.000222
1.02,-0.000227
1.021,-0.000232
1.022,-0.000237
1.023,-0.000242
1.024,-0.000248
1.025,-0.000253
1.026,-0.000258
1.027,-0.000263
1.028,-0.000268
1.029,-0.000273
1.03,-0.000277
1.031,-0.000281
1.032,-0.000284
1.033,-0.000287
1.034,-0.000289
1.035,-0.000291
1.036,-0.000292
1.037,-0.000293
1.038,-0.000293
1.039,-0.000293
1.04,-0.000292
1.041,-0.000292
1.042,-0.000291
1.043,-0.00029
1.044,-0.000289
1.045,-0.000289
1.046,-0.000288
1.047,-0.000288
1.048,-0.000287
1.049,-0.000286
1.05,-0.000286
1.051,-0.000285
1.052,-0.000283
1.053,-0.000282
1.054,-0.00028
1.055,-0.000277
1.056,-0.000275
1.057,-0.000271
1.058,-0.000268
1.059,-0.000265
1.06,-0.000261
1.061,-0.000257
1.062,-0.000254
1.063,-0.00025
1.064,-0.000246
1.065,-0.000241
1.066,-0.000237
1.067,-0.000233
1.068,-0.000229
1.069,-0.000225
1.07,-0.000221
1.071,-0.000217
1.072,-0.000214
1.073,-0.000212
1.074,-0.000209
1.075,-0.000207
1.076,-0.000205
1.077,-0.000203
1.078,-0.000201
1.079,-0.0002
1.08,-0.000199
1.081,-0.000198
1.082,-0.000198
1.083,-0.000199
1.084,-0.000199
1.085,-0.0002
1.086,-0.000201
1.087,-0.000203
1.088,-0.000205
1.089,-0.000207
1.09,-0.000209
1.091,-0.000211
1.092,-0.000213
1.093,-0.000215
1.094,-0.000218
1.095,-0.00022
1.096,-0.000222
1.097,-0.000225
1.098,-0.000227
1.099,-0.000229
1.1,-0.000231
1.101,-0.000233
1.102,-0.000234
1.103,-0.000236
1.104,-0.000238
1.105,-0.00024
1.106,-0.000242
1.107,-0.000244
1.108,-0.000246
1.109,-0.000249
1.11,-0.000251
1.111,-0.000253
1.112,-0.000255
1.113,-0.000257
1.114,-0.000259
1.115,-0.000261
1.116,-0.000262
1.117,-0.000262
1.118,-0.000263
1.119,-0.000263
1.12,-0.000264
1.121,-0.000264
1.122,-0.000264
1.123,-0.000264
1.124,-0.000265
1.125,-0.000266
1.126,-0.000267
1.127,-0.000268
1.128,-0.000269
1.129,-0.00027
1.13,-0.000271
1.131,-0.000272
1.132,-0.000272
1.133,-0.000273
1.134,-0.000273
1.135,-0.000273
1.136,-0.000272
1.137,-0.000271
1.138,-0.000271
1.139,-0.00027
1.14,-0.000269
1.141,-0.000268
1.142,-0.000267
1.143,-0.000266
1.144,-0.000265
1.145,-0.000264
1.146,-0.000264
1.147,-0.000263
1.148,-0.000263
1.149,-0.000263
1.15,-0.000262
1.151,-0.000262
1.152,-0.000261
1.153,-0.000259
1.154,-0.000257
1.155,-0.000255
1.156,-0.000252
1.157,-0.000249
1.158,-0.000246
1.159,-0.000242
1.16,-0.000238
1.161,-0.000233
1.162,-0.000229
1.163,-0.000224
1.164,-0.00022
1.165,-0.000215
1.166,-0.000211
1.167,-0.000206
1.168,-0.000202
1.169,-0.000197
1.17,-0.000193
1.171,-0.000189
1.172,-0.000184
1.173,-0.00018
1.174,-0.000176
1.175,-0.000171
1.176,-0.000167
1.177,-0.000163
1.178,-0.000159
1.179,-0.000155
1.18,-0.000152
1.181,-0.000148
1.182,-0.000146
1.183,-0.000143
1.184,-0.000141
1.185,-0.000139
1.186,-0.000138
1.187,-0.000137
1.188,-0.000137
1.189,-0.000137
1.19,-0.000137
1.191,-0.000137
1.192,-0.000138
1.193,-0.000138
1.194,-0.000139
1.195,-0.000139
1.196,-0.000139
1.197,-0.000139
1.198,-0.000139
1.199,-0.00014
1.2,-0.00014
1.201,-0.000141
1.202,-0.000142
1.203,-0.000144
1.204,-0.000145
1.205,-0.000147
1.206,-0.000149
1.207,-0.000152
1.208,-0.000154
1.209,-0.000157
1.21,-0.000159
1.211,-0.000161
1.212,-0.000163
1.213,-0.000165
1.214,-0.000167
1.215,-0.000168
1.216,-0.000169
1.217,-0.00017
1.218,-0.00017
1.219,-0.00017
1.22,-0.00017
1.221,-0.00017
1.222,-0.00017
1.223,-0.00017
1.224,-0.000169
1.225,-0.000169
1.226,-0.000168
1.227,-0.000168
1.228,-0.000167
1.229,-0.000167
1.23,-0.000167
1.231,-0.000166
1.232,-0.000166
1.233,-0.000165
1.234,-0.000164
1.235,-0.000164
1.236,-0.000163
1.237,-0.000162
1.238,-0.000161
1.239,-0.00016
1.24,-0.00016
1.241,-0.000159
1.242,-0.000158
1.243,-0.000158
1.244,-0.000157
1.245,-0.000156
1.246,-0.000156
1.247,-0.000155
1.248,-0.000155
1.249,-0.000155
1.25,-0.000155
1.251,-0.000155
1.252,-0.000154
1.253,-0.000154
1.254,-0.000154
1.255,-0.000154
1.256,-0.000154
1.257,-0.000154
1.258,-0.000154
1.259,-0.000154
1.26,-0.000154
1.261,-0.000154
1.262,-0.000154
1.263,-0.000154
1.264,-0.000155
1.265,-0.000155
1.266,-0.000155
1.267,-0.000156
1.268,-0.000157
1.269,-0.000158
1.27,-0.000159
1.271,-0.00016
1.272,-0.000161
1.273,-0.000163
1.274,-0.000164
1.275,-0.000165
1.276,-0.000166
1.277,-0.000167
1.278,-0.000168
1.279,-0.000168
1.28,-0.000168
1.281,-0.000168
1.282,-0.000168
1.283,-0.000168
1.284,-0.000168
1.285,-0.000168
1.286,-0.000168
1.287,-0.000168
1.288,-0.000168
1.289,-0.000168
1.29,-0.000168
1.291,-0.000168
1.292,-0.000167
1.293,-0.000166
1.294,-0.000165
1.295,-0.000164
1.296,-0.000162
1.297,-0.00016
1.298,-0.000158
1.299,-0.000156
1.3,-0.000154
1.301,-0.000152
1.302,-0.00015
1.303,-0.000148
1.304,-0.000146
1.305,-0.000144
1.306,-0.000143
1.307,-0.000141
1.308,-0.00014
1.309,-0.000139
1.31,-0.000138
1.311,-0.000137
1.312,-0.000137
1.313,-0.000136
1.314,-0.000135
1.315,-0.000134
1.316,-0.000134
1.317,-0.000133
1.318,-0.000132
1.319,-0.000131
1.32,-0.000131
1.321,-0.000131
1.322,-0.000131
1.323,-0.000131
1.324,-0.000132
1.325,-0.000133
1.326,-0.000135
1.327,-0.000136
1.328,-0.000138
1.329,-0.00014
1.33,-0.000142
1.331,-0.000145
1.332,-0.000147
1.333,-0.000148
1.334,-0.00015
1.335,-0.000151
1.336,-0.000152
1.337,-0.000152
1.338,-0.000152
1.339,-0.000151
1.34,-0.00015
1.341,-0.000148
1.342,-0.000147
1.343,-0.000145
1.344,-0.000144
1.345,-0.000142
1.346,-0.00014
1.347,-0.000139
1.348,-0.000138
1.349,-0.000137
1.35,-0.000136
1.351,-0.000135
1.352,-0.000135
1.353,-0.000134
1.354,-0.000134
1.355,-0.000134
1.356,-0.000133
1.357,-0.000133
1.358,-0.000133
1.359,-0.000133
1.36,-0.000133
1.361,-0.000134
1.362,-0.000135
1.363,-0.000136
1.364,-0.000137
1.365,-0.000139
1.366,-0.000141
1.367,-0.000144
1.368,-0.000147
1.369,-0.000149
1.37,-0.000153
1.371,-0.000156
1.372,-0.000159
1.373,-0.000163
1.374,-0.000166
1.375,-0.000169
1.376,-0.000172
1.377,-0.000175
1.378,-0.000178
1.379,-0.000181
1.38,-0.000184
1.381,-0.000186
1.382,-0.000189
1.383,-0.000191
1.384,-0.000194
1.385,-0.000196
1.386,-0.000198
1.387,-0.0002
1.388,-0.000202
1.389,-0.000204
1.39,-0.000205
1.391,-0.000206
1.392,-0.000207
1.393,-0.000207
